title,author,link,hours,mins,total_mins,total_hours,total_days
FFFHAMS,Eloheem Ali,https://www.audible.com/pd/FFFHAMS-Audiobook/B0C62KH5TM?qid=1686833264&sr=1-25&ref=a_search_c3_lProduct_2_5&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=89YV3JC0K4KBCTACYPW3&pageLoadId=qz2jImB18jQfqBvr&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,9.0,34.0,574.0,9.57,0.4
10x Is Easier than 2x,"Dan Sullivan, Dr. Benjamin Hardy",https://www.audible.com/pd/10x-Is-Easier-than-2x-Audiobook/B0C2J8VZZ3?qid=1686833264&sr=1-26&ref=a_search_c3_lProduct_2_6&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=89YV3JC0K4KBCTACYPW3&pageLoadId=qz2jImB18jQfqBvr&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,9.0,58.0,598.0,9.97,0.42
How to Do Magic That Works,Genevieve Davis,https://www.audible.com/pd/How-to-Do-Magic-That-Works-Audiobook/B0C5PDJQWM?qid=1686833264&sr=1-27&ref=a_search_c3_lProduct_2_7&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=89YV3JC0K4KBCTACYPW3&pageLoadId=qz2jImB18jQfqBvr&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,2.0,22.0,142.0,2.37,0.1
Love Me Today,A.L. Jackson,https://www.audible.com/pd/Love-Me-Today-Audiobook/B0C46Z31P9?qid=1686833264&sr=1-28&ref=a_search_c3_lProduct_2_8&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=89YV3JC0K4KBCTACYPW3&pageLoadId=qz2jImB18jQfqBvr&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,10.0,47.0,647.0,10.78,0.45
Data Research Algorithms About Outlier Detection,Kory Costello,https://www.audible.com/pd/Data-Research-Algorithms-About-Outlier-Detection-Audiobook/B0C6BJTQH3?qid=1686833264&sr=1-29&ref=a_search_c3_lProduct_2_9&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=89YV3JC0K4KBCTACYPW3&pageLoadId=qz2jImB18jQfqBvr&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,3.0,33.0,213.0,3.55,0.15
Hold Your Breath,Helen Phifer,https://www.audible.com/pd/Hold-Your-Breath-Audiobook/B0C5RY4TWX?qid=1686833264&sr=1-30&ref=a_search_c3_lProduct_2_10&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=89YV3JC0K4KBCTACYPW3&pageLoadId=qz2jImB18jQfqBvr&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,8.0,55.0,535.0,8.92,0.37
The Full Fee Agent,"Chris Voss, Steve Shull",https://www.audible.com/pd/The-Full-Fee-Agent-Audiobook/B0C7LJW6CW?qid=1686833264&sr=1-31&ref=a_search_c3_lProduct_2_11&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=89YV3JC0K4KBCTACYPW3&pageLoadId=qz2jImB18jQfqBvr&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,5.0,6.0,306.0,5.1,0.21
Warrior Fae,"Caroline Peckham, Susanne Valenti",https://www.audible.com/pd/Warrior-Fae-Audiobook/B0C74P4CFR?qid=1686833264&sr=1-32&ref=a_search_c3_lProduct_2_12&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=89YV3JC0K4KBCTACYPW3&pageLoadId=qz2jImB18jQfqBvr&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,29.0,37.0,1777.0,29.62,1.23
The Divine and the Cursed,J.E. Reed,https://www.audible.com/pd/The-Divine-and-the-Cursed-Audiobook/B0C63F4385?qid=1686833264&sr=1-33&ref=a_search_c3_lProduct_2_13&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=89YV3JC0K4KBCTACYPW3&pageLoadId=qz2jImB18jQfqBvr&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,11.0,35.0,695.0,11.58,0.48
Flaunt,Adriana Locke,https://www.audible.com/pd/Flaunt-Audiobook/B0C7D192TL?qid=1686833264&sr=1-34&ref=a_search_c3_lProduct_2_14&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=89YV3JC0K4KBCTACYPW3&pageLoadId=qz2jImB18jQfqBvr&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,7.0,27.0,447.0,7.45,0.31
