property_name,property_price,property_location,property_bedrooms,property_bathrooms,property_size,real_estate_agent
,"KSh 28,500,000",Kiambu Town,4,,,Charringtons
,"KSh 40,500,000","Nyali Area, Nyali",4,,,Arneel Homes
,"KSh 16,500,000","Utange, Bamburi",5,,2000 m²,Samfrance properties
,"KSh 60,000,000",Lavington,5,,470 m²,Splendor Holdings
,"KSh 16,500,000","0414m, South C",3,,1899 ft²,Ace Realtors Limited
,"KSh 12,600,000","Kamakis Area Ruiru, Eastern ByPass, Ruiru",4,,250 m²,Sir Francis Marketing &#38; Consultants Ltd
,"KSh 22,000,000",South B,4,,,Pam Golding Properties
,"KSh 50,000,000","Gated community, Tigoni, Limuru",4,,,Trendy Living
,"KSh 22,000,000","2, Kiambu road, Kiambu Road",4,,300 m²,Westside Real Estate
,"KSh 110,000,000","Ushirika road, Karen",5,,,Mapema Properties
,"KSh 16,000,000","Kitengela road, Langata",3,,,Offshore Properties
,"KSh 77,000,000",Karen,5,,,Moulding Grace Real Estate
,"KSh 6,200,000",Kitengela,4,,150 m²,Vector Afriq Properties Ltd
,"KSh 150,000,000","Ring road, Westlands Area, Westlands",4,,,Royal Properties Market Limited
,"KSh 45,500,000","Kiambu road, Runda, Westlands",4,,,Nairobi and Beyond Realty
,"KSh 32,000,000","Bofa Road, Watamu",3,,,Knight Frank Kenya
,"KSh 33,000,000",Karen,4,,3500 ft²,Leilach Properties
,"KSh 85,000,000",Karen,6,,,Prime Plush Properties
,"KSh 6,500,000",Ongata Rongai,3,,1500 ft²,Leilach Properties
,"KSh 5,800,000",Kitengela,3,,132 m²,DOMINA HOMES
,"KSh 4,200,000","Near Lunga Lunga highway, Ukunda",4,,,Ryden International
,"KSh 40,000,000","Posta mtwapa, Postal mtwapa, Mtwapa",3,,,Samfrance properties
,"KSh 150,000,000","Runda, Westlands",6,,1 ac,Jubilee Real Estate
,"KSh 130,000,000","Gigiri, Westlands",6,,,Coral Property International Ltd
,Price not communicated,"Mbagathi Ridge, Karen",5,,,Knight Frank Kenya
,"KSh 6,300,000",Kitengela,4,,,Halsey Realtors
,"KSh 165,000,000","Nyari, Westlands",7,,,Coral Property International Ltd
,"KSh 120,000,000","Bendera Lane, Spring Valley, Westlands",4,,,Sunflag Kenya
,"KSh 6,200,000",Kitengela,3,,,Blu cherryDUPLICATE
,"KSh 39,500,000","La-marina, La-marina Mtwapa, Mtwapa",3,,1000 m²,Sky Miles Properties
,"KSh 8,500,000","Muchatha, Muchatha and Banana",3,,,Litana Investments
,"KSh 8,000,000",Ruiru,3,,2400 ft²,Litana Investments
,"KSh 85,000,000","Old Nyali,Opposite Nyali Police, Greenwood Nyali, Nyali Area, Nyali",6,,,BLISS HOMES
,"KSh 45,000,000","Kirarapon, Karen",4,,,DOMINA HOMES
,"KSh 6,100,000",Kiserian,3,,371 m²,Litana Investments
,"KSh 6,500,000",Kitengela,3,,5000 ft²,Litana Investments
,"KSh 10,500,000",Ngong,3,,,Tysons Limited
,"KSh 13,500,000",Syokimau,4,,,
,"KSh 40,000,000","Kilifi, Bofa",3,,,Furaha Properties
,"KSh 29,400,000",Kiambu Road,4,,,Canaan Properties
,"KSh 4,500,000","Bomani Mamba, Bomani, Kikambala",2,,500 m²,Sky Miles Properties
,"KSh 150,000,000","O, Karen",6,,540 m²,Mapema Properties
,"KSh 60,000,000","Windsor, Roysambu",4,,,Pam Golding Properties
,"KSh 38,000,000","23 04011 ST 0419p, Near Wilson Airport, Langata",4,,,Ace Realtors Limited
,"KSh 70,000,000",Lavington,5,,,Keensell Ventures LTD
,"KSh 30,000,000",Ongata Rongai,5,,2500 m²,Litana Investments
,"KSh 65,000,000",Karen,4,,,AMAYA REALTORS
,"KSh 110,000,000","Lower Kabete, Westlands",5,,1012 m²,Simkar Group Limited
,"KSh 65,000,000",Lavington,5,,,Bright Homes Management
,"KSh 6,500,000",Mtwapa,3,,,Furaha Properties
,"KSh 110,000,000","Nyali Area, Nyali",4,,4047 m²,Furaha Properties
,"KSh 75,000,000",Karen,4,,,Pam Golding Properties
,"KSh 39,000,000","mtwapa, Mtwapa",3,,2890 ft²,Benford Homes
,"KSh 45,000,000",Kiambu Road,4,,,MK PROPERTIES
,"KSh 22,500,000","Muchatha, Muchatha and Banana",4,,494 m²,Litana Investments
,Price not communicated,"Kizingoni Beach, Lamu, lamu",5,,1 ac,Knight Frank Kenya
,"KSh 65,000,000","Mtwapa, Aloo drive",3,,1 ac,Sky Miles Properties
,"KSh 26,000,000",Langata,4,,,Citiscape Valuers & Estate Agents Ltd
,"KSh 99,000,000","Runda Ruaka road, Runda, Westlands",6,,2150 m²,El Roi Properties
,"KSh 60,000,000","Kitisuru, Westlands",4,,350 m²,Splendor Holdings
,"KSh 60,000,000","Westlands Area, Westlands",5,,4600 ac,Tysons Limited
,"KSh 15,300,000","Matasia, Ngong",4,,,Villawatch Limited
,"KSh 85,000,000","Kyuna, Westlands",6,,8000 ft²,SXERP REAL ESTATE
,"KSh 65,000,000","Links road, Nyali Area, Nyali",4,,3000 m²,Samfrance properties
,"KSh 90,000,000","Nyali Area, Nyali",4,,,Furaha Properties
,"KSh 90,000,000","Mukoma road, Karen",5,,1 ac,Kenya Classic Homes
,"KSh 150,000,000","O, Karen bomas of kenya, Karen",5,,540 m²,Mapema Properties
,"KSh 120,000,000",Lavington,4,,,Canaan Properties
,"KSh 30,500,000",Ruaka,5,,500 m²,Litana Investments
,"KSh 25,000,000",Kitengela,5,,,Citiscape Valuers & Estate Agents Ltd
,"KSh 45,000,000",Ngong,5,,3500 ft²,Leilach Properties
,"KSh 12,000,000",Industrial Area,3,,,Pam Golding Properties
,"KSh 26,000,000",South C,5,,,Pam Golding Properties
,"KSh 6,250,000",Kitengela,3,,140 m²,Vector Afriq Properties Ltd
,"KSh 5,850,000","Farm, Juja",3,,138 m²,Vector Afriq Properties Ltd
,"KSh 18,000,000",Kitengela,5,,3000 ft²,Leilach Properties
,"KSh 50,000,000","Riverside Drive, Riverside, Westlands",5,,,
,"KSh 45,000,000","Kahawa sukari, Kahawa Sukari, Roysambu",4,,,Premier Realty Estate Agents
,"KSh 60,000,000",Watamu,4,,,Furaha Properties
,"KSh 97,000,000",Karen,5,,,Moulding Grace Real Estate
,"KSh 100,000,000","Kabete Springs, Lower Kabete, Westlands",5,,,Knight Frank Kenya
,"KSh 33,000,000",Syokimau,4,,,Dakima Home International
,"KSh 49,000,000","Tigoni, Limuru",8,,680 m²,Palmier Properties Limited
,"KSh 115,000,000","Karen Academy road, Karen",6,,540 m²,Mapema Properties
,"KSh 56,500,000","47, Convent Drive, Lavington",5,,4700 ft²,Triple Ell Property Ltd
,"KSh 52,000,000",Lavington,5,,,Villawatch Limited
,"KSh 48,000,000","Kahawa Sukari, Roysambu",4,,,Abec Real Estate
,"KSh 110,000,000","Apple Cross, Lavington",4,,,FAPCL Group
,"KSh 17,000,000","Kamakis, Ruiru",4,,,Bueno Property Management
,"KSh 6,200,000",Kamangu,3,,110 m²,Trisums Investments Company Ltd
,"KSh 37,000,000",Athi River,4,,,Pam Golding Properties
,"KSh 82,000,000",Lavington,6,,,Coral Property International Ltd
,"KSh 17,000,000","Membley, Ruiru",4,,,Red Knot  Properties Limited
,"KSh 160,000,000","Lower Kabete, Westlands",5,,,Trisums Investments Company Ltd
,"KSh 40,000,000","Moi North Lake Road, Naivasha",3,,3500 ft²,Fit Property
,"KSh 25,000,000",Langata,5,,,Ring Kenya Ltd
,"KSh 80,000,000",Karen,6,,3500 ft²,Leilach Properties
,"KSh 75,000,000","Serena road shanzu, Shanzu",6,,2000 m²,Samfrance properties
,"KSh 5,850,000","Mtoni road, Kangundo road, Kamulu, Kamulu Joska Malaa",3,,120 m²,CASTLE VILLAS LIMITED
,"KSh 5,850,000","Kangundo Road, Kamulu, Joska, Kamulu Joska Malaa",3,,120 m²,CASTLE VILLAS LIMITED
,"KSh 23,000,000",Kiambu Town,4,,297 m²,Litana Investments
,"KSh 150,000,000","Lower Kabete, Westlands",5,,700 m²,Jubilee Real Estate
,"KSh 62,000,000","Nyali Area, Nyali",4,,,Highrise Properties Ltd
,"KSh 41,000,000","Diani Beach, Diani",4,,600 m²,Property Point Urban Kenya
,"KSh 13,500,000",Ruiru,4,,,Hold Piece Ltd
,"KSh 8,000,000","KAPSOYA, Eldoret",3,,,Metrocosmo Limited
,"KSh 90,000,000","Nyali Area, Nyali",5,,,Joslink Property Group
,"KSh 10,500,000",Thika,4,,464 m²,Litana Investments
,"KSh 9,600,000","olkeri, Ngong",3,,,Ikara property consultants
,"KSh 20,500,000","Nyali Area, Nyali",4,,,Arneel Homes
,"KSh 95,000,000",Karen,5,,430 m²,Peponi & Co Real Estate
,"KSh 75,000,000","O, Karen THREE DE ROAD, Karen",4,,540 m²,Mapema Properties
,"KSh 75,000,000","Mokoyeti road, Karen",5,,544 m²,Mapema Properties
,"KSh 25,000,000",Diani,3,,,Crestace Real Estate Ltd
,"KSh 95,000,000","kilifi, Kilifi County",4,,4200 ft²,Benford Homes
,"KSh 17,000,000","Near Pembroke, Gilgil",3,,,Ryden International
,"KSh 70,000,000","Nyali Area, Nyali",4,,,Highrise Properties Ltd
,"KSh 48,000,000","Kikambala,kikambala,kilifi county, Kikambala,kikambala,kilif county, Bofa",3,,1500 m²,Samfrance properties
,Price not communicated,Karen,6,,,Zyve
,"KSh 25,945,000","Edenville, Kiambu Road",4,,,Royani Properties Limited
,"KSh 85,000,000","Runda, Westlands",5,,,Great Five Consultants
,"KSh 55,000,000",Lavington,5,,400 m²,Splendor Holdings
,"KSh 85,000,000","Runda, Westlands",4,,,Splendor Holdings
,"KSh 61,000,000",Lavington,4,,,Leti Realty Limited
,"KSh 95,000,000",Vipingo,4,,,Highrise Properties Ltd
,"KSh 13,000,000","BALOZI, Kitengela",3,,,Havilaplus Estates Ltd
,"KSh 40,000,000","Nyali, Nyali Area",4,,3800 m²,Benford Homes
,"KSh 9,000,000",Kitengela,3,,223 m²,AXIS ASSETS LTD
,"KSh 8,500,000","Garissa Road, Thika",3,,,Chawan Business Ventures
,"KSh 14,150,000",Ruiru,4,,,MK PROPERTIES
,"KSh 6,500,000","Magadi road, Kiserian Town, Kiserian",3,,,Skybraze homes
,"KSh 6,000,000",Kitengela,3,,140 m²,Halsey Realtors
,"KSh 170,000,000",Kilifi County,4,,,Furaha Properties
,"KSh 16,000,000",Malindi,2,,,Tysons Limited
,"KSh 62,000,000",Lavington,4,,,Leti Realty Limited
,"KSh 340,000,000","shanzu, Shanzu",6,,546 m²,Benford Homes
,"KSh 65,000,000",Kilifi County,3,,,Furaha Properties
,"KSh 285,000,000","Lower Kabete Rd, Lower Kabete, Westlands",5,,1 ac,Coral Property International Ltd
,"KSh 130,000,000",Karen,5,,,Wealthlink Realtors Ltd
,"KSh 46,000,000",Lavington,4,,,Splendor Holdings
,"KSh 40,000,000","Vipingo Drive, Vipingo",3,,,Knight Frank Kenya
,"KSh 65,000,000",Lavington,4,,,Gerryville Homes
,"KSh 12,500,000","Muigai, Kitengela",3,,245 m²,Cherd Africa LTD
,"KSh 15,000,000",Thika,4,,,Chawan Business Ventures
,"KSh 135,000,000",Karen,5,,540 m²,Mapema Properties
,"KSh 15,500,000",Syokimau,5,,,Kraft Fiction
,"KSh 11,500,000",Syokimau,4,,297 m²,Litana Investments
,"KSh 120,000,000","Kinanda West, Kitisuru, Westlands",6,,2024 m²,Simkar Group Limited
,"KSh 13,500,000",Athi River,3,,,Kraft Fiction
,"KSh 6,900,000",Thika,3,,4000 ft²,Litana Investments
,"KSh 145,000,000",Lavington,4,,,Bright Homes Management
,"KSh 9,450,000",Kenyatta Road,3,,,MK PROPERTIES
,"KSh 29,000,000",Kiambu Road,4,,2522 m²,LIflac Properties
,"KSh 45,000,000","Casuarini, Malindi",4,,,Kraft Fiction
,"KSh 29,000,000",Langata,5,,,Pam Golding Properties
,"KSh 210,000,000","Nyari, Westlands",4,,,Coral Property International Ltd
,"KSh 6,800,000",Ongata Rongai,3,,5000 ft²,Litana Investments
,"KSh 50,000,000","Tigoni, Limuru",4,,,Wealthlink Realtors Ltd
,"KSh 27,000,000","Near Bandari Villas, South C",3,,,Red Knot  Properties Limited
,"KSh 9,500,000","Kikuyu Town, Kikuyu",3,,220 m²,Palmier Properties Limited
,"KSh 11,000,000",Ngong,3,,2600 ft²,Leilach Properties
,"KSh 105,000,000","Mkomani, Nyali",4,,2024 m²,Furaha Properties
,"KSh 55,000,000",South C,2,,,Coral Property International Ltd
,"KSh 13,500,000",Kitengela,4,,464 m²,Litana Investments
,"KSh 7,700,000",Kenyatta Road,3,,,Home Link Realty
,"KSh 40,000,000",Kiambu Road,4,,,Red Knot  Properties Limited
,"KSh 12,500,000","Mombasa Road, Athi River",4,,157 m²,Simkar Group Limited
,"KSh 95,000,000","O, Karen ololua estate, Karen",5,,540 m²,Mapema Properties
,"KSh 67,000,000",Karen,4,,,Prime Plush Properties
,"KSh 115,000,000",Karen,5,,,Prime Plush Properties
,"KSh 68,000,000",Lavington,4,,,Hanspace Limited
,"KSh 35,000,000","Rhapta Road, Westlands",4,,,Coral Property International Ltd
,"KSh 60,000,000","Westlands Area, Westlands",5,,,Keensell Ventures LTD
,"KSh 11,800,000",Athi River,3,,,Pam Golding Properties
,"KSh 17,000,000","Nyali Area, Nyali",3,,,Furaha Properties
,"KSh 85,000,000","O, Bongani road, Karen",6,,544 m²,Mapema Properties
,"KSh 7,500,000","Kitengela, Acacia",3,,150 m²,Wankim Investments
,"KSh 125,000,000","Forest view, Karen",7,,,Pam Golding Properties
,"KSh 17,800,000",South C,3,,,Ryden International
,"KSh 150,000,000","Runda, Westlands",7,,,Premier Realty Estate Agents
,"KSh 35,000,000",Vipingo,4,,,Highrise Properties Ltd
,"KSh 7,500,000","Mtwapa kilifi, Kilifi",3,,,Kimachas Enterprises
,"KSh 10,000,000","MUMIAS SOUTH RD, Buruburu",3,,,HOME CARE ESTATES LTD.
,"KSh 6,500,000",Mtwapa,3,,,Furaha Properties
,"KSh 9,455,000","Kenyatta road, Exit 14, Kenyatta Road",4,,,Centrum Properties
,"KSh 24,000,000","Eden Ville Estate, Kiambu Road",3,,,LIflac Properties
,"KSh 150,000,000","Lower Kabete, Westlands",5,,,Coral Property International Ltd
,"KSh 47,000,000","Westlands Area, Westlands",4,,,Marini Homes
,"KSh 60,000,000","Lantana Road, Westlands Area, Westlands",5,,,Knight Frank Kenya
,"KSh 85,000,000","Kizingo, Mombasa Island",4,,,Furaha Properties
,"KSh 46,000,000",Kitengela,6,,4500 ft²,Leilach Properties
,"KSh 75,000,000","vipingo, Mombasa CBD, Mombasa Island",4,,4982 ft²,Benford Homes
,"KSh 5,800,000",Kitengela,3,,450 m²,Vector Afriq Properties Ltd
,"KSh 11,480,000",Athi River,1,,85 m²,Sir Francis Marketing &#38; Consultants Ltd
,"KSh 55,000,000","Amboseli road, Lavington",5,,350 m²,Rockfield Management Ltd
,"KSh 29,500,000","Kamangu Rd, Kabete",4,,320 m²,Sky Limits Ventures
,"KSh 13,000,000",Buruburu,4,,,Unique Listings Limited
,"KSh 16,000,000",Ruiru,4,,,Crestace Real Estate Ltd
,"KSh 135,000,000","Kitisuru, Westlands",5,,,FAPCL Group
,"KSh 30,000,000","01, Ongata Rongai",5,,929 m²,Litana Investments
,"KSh 6,200,000",Kitengela,3,,140 m²,Vector Afriq Properties Ltd
,"KSh 33,000,000","Beach road Nyali, Nyali Area, Nyali",4,,3460 ft²,Benford Homes
,"KSh 115,000,000","Coffee Gardens - Muthaiga North, Muthaiga",4,,1 ac,Kenya Valuers & Estate Agents
,"KSh 16,000,000",Kitengela,4,,,Blu cherryDUPLICATE
,"KSh 37,000,000","Kiambu road, Kiambu Road",4,,,Wealthlink Realtors Ltd
,"KSh 85,000,000","Nyali Area, Nyali",6,,,Arneel Homes
,"KSh 75,000,000",Lavington,4,,400 m²,Kenya Classic Homes
,"KSh 65,000,000","Grevillea groove, Brookside, Westlands",5,,,Halifax Estate Agency
,"KSh 12,500,000","Mombasa rad, Mombasa road, Syokimau",3,,,
,"KSh 55,000,000","Links road, Nyali Area, Nyali",4,,1000 m²,Samfrance properties
,"KSh 47,000,000",Muthaiga,5,,,DOMINA HOMES
,"KSh 85,000,000",Lavington,5,,,FAPCL Group
,"KSh 85,000,000",Lavington,5,,,Trendy Living
,"KSh 17,000,000",Kitengela,4,,,Crestace Real Estate Ltd
,"KSh 15,500,000",Syokimau,5,,,Ring Kenya Ltd
,"KSh 23,000,000","Kamakis, Ruiru",4,,,Prime Plush Properties
,"KSh 42,000,000",Ukunda,3,,,Furaha Properties
,"KSh 70,000,000","Runda Mumwe, Runda, Westlands",4,,,FAPCL Group
,"KSh 6,200,000",Kitengela,3,,140 m²,Halsey Realtors
,"KSh 60,000,000",Lavington,5,,,Leti Realty Limited
,"KSh 20,000,000","Kyumvi, Machakos Junction, Mombasa Road",4,,2800 ft²,The Manis Real Estate
,"KSh 180,000,000",Naivasha,5,,,Karengata Property Managers
,"KSh 14,500,000",Syokimau,4,,1615 ft²,Litana Investments
,"KSh 120,000,000","Kitisuru, Westlands",5,,,Sky Limits Ventures
,"KSh 35,000,000","Loresho, Westlands",4,,,Pam Golding Properties
,"KSh 42,800,000","Loresho Ridge, Loresho, Westlands",4,,,Lavington Property Management
,"KSh 25,000,000",Kiambu Road,3,,,
,"KSh 75,000,000",Ridgeways,3,,,Wealthlink Realtors Ltd
,"KSh 16,000,000","Nyerere road, Mombasa Island",3,,2035 ft²,Tysons Limited
,"KSh 58,000,000","Mushroom Gardens Road, Kiambu Road",3,,,Simkar Group Limited
,"KSh 10,500,000",Makadara,3,,,Stop Properties Real Estate
,"KSh 28,000,000","Njathaini Road, Kiambu Road",4,,234 m²,Jayhenrys Holdings Limited
,"KSh 180,000,000",Diani,6,,,Benford Homes
,"KSh 6,250,000",Juja,3,,,
,"KSh 6,950,000",Diani,3,,,
,"KSh 130,000,000","Runda, Westlands",4,,,Splendor Holdings
,"KSh 42,000,000","James Gichuru, Lavington",5,,,Fab Real Estate
,"KSh 140,000,000","25, St Georges Road, Tigoni, Limuru",4,,4 ac,Knight Frank Kenya
,"KSh 11,700,000","Gikambura, Kikuyu",4,,210 m²,Realux Holding Limited
,"KSh 12,000,000",Ongata Rongai,4,,4000 ft²,Litana Investments
,"KSh 92,000,000","Njumbi, Lavington",4,,,Lavington Property Management
,"KSh 110,000,000",Karen,5,,,Tysons Limited
,"KSh 199,000,000","Nandi road, Karen",5,,6550 m²,Mapema Properties
,"KSh 27,000,000",Mtwapa,3,,,Furaha Properties
,"KSh 29,500,000",Kilifi,3,,,Knight Frank Kenya
,"KSh 48,000,000",Lavington,4,,,Hanspace Limited
,"KSh 250,000,000","Runda, Westlands",5,,,Kraft Fiction
,"KSh 10,000,000",Kitengela,4,,464 m²,Litana Investments
,"KSh 15,000,000",Ngong,4,,464 m²,Litana Investments
,"KSh 95,000,000","O, Langata south road, Karen",5,,544 m²,Mapema Properties
,"KSh 100,000,000","O, Bomas of Kenya, Karen",5,,544 m²,Mapema Properties
,"KSh 13,000,000",Kilifi County,4,,,Furaha Properties
,"KSh 25,000,000","Kongowea, Nyali",8,,,Furaha Properties
,"KSh 75,000,000","Gravellia groove, Westlands Area, Westlands",5,,,Dakima Home International
,"KSh 29,950,000","Five Star paradise, Kiambu Road",4,,2153 ft²,Premier Realty Estate Agents
,"KSh 5,900,000",Ngong,3,,,Haki Homes
,"KSh 12,500,000",Bamburi,4,,,Benford Homes
,"KSh 6,400,000",Kitengela,3,,,Blu cherryDUPLICATE
,"KSh 8,000,000",Ngong,4,,2000 ft²,Leilach Properties
,"KSh 19,000,000",Syokimau,5,,,Kraft Fiction
,"KSh 105,000,000",Lavington,6,,700 m²,Splendor Holdings
,"KSh 85,000,000",Lavington,5,,300 m²,Glo Realtors
,"KSh 88,000,000","Kyuna, Westlands",4,,6000 ft²,Triple Ell Property Ltd
,"KSh 56,000,000","Kaputei Gardens, Kileleshwa",5,,,Hanspace Limited
,"KSh 7,800,000",Ruiru,3,,,Wangui Realtor
,"KSh 75,000,000","Lavington Njumbi Road, Lavington",4,,,Fab Real Estate
,"KSh 67,000,000","Near Lavington Mall, Lavington",4,,371 m²,Westside Real Estate
,"KSh 60,000,000",Kilimani,4,,410 m²,Valleyview Realtors
,"KSh 35,000,000",Kilimani,4,,,Tiki Properties
,"KSh 100,000,000","Bongani road, Karen",7,,545 m²,Mapema Properties
,"KSh 10,000,000",Kitengela,3,,4000 ft²,Litana Investments
,"KSh 14,250,000","Githunguri road, Ruiru",3,,,Unique Urban Homes
,"KSh 8,000,000","Mtwapa Town,Mzambarauni, Mtwapa",3,,,BLISS HOMES
,"KSh 45,000,000","East Church Road, Westlands Area, Westlands",5,,,Simkar Group Limited
,"KSh 33,000,000",Ngong,4,,3500 ft²,Leilach Properties
,"KSh 38,400,000","Runda Off Kiambu Rd, Kiambu Road",3,,2604 ft²,Sir Francis Marketing &#38; Consultants Ltd
,"KSh 60,000,000","O, Karen ridge road, Karen",4,,540 m²,Mapema Properties
,"KSh 37,500,000","Fivestar Meadows Estate, Kiambu Road",4,,,Royani Properties Limited
,"KSh 45,000,000",Thika,6,,,Pam Golding Properties
,"KSh 12,500,000","RUIRU -RURII, Ruiru",4,,2400 ft²,Wainaina Real Estate Agents
,"KSh 7,750,000","Katani Road, Syokimau",3,,180 m²,Sir Francis Marketing &#38; Consultants Ltd
,"KSh 6,200,000",Kitengela,4,,,Halsey Realtors
,"KSh 235,000,000","Runda, Westlands",5,,2023 m²,LIflac Properties
,"KSh 16,000,000","Kikuyu Town, Kikuyu",5,,,Realux Holding Limited
,"KSh 40,000,000","0232, kiambu, Kiambu Road",4,,10890 ft²,Executive Living Africa Ltd
,"KSh 45,000,000","Kahawa sukari, Kahawa Sukari, Roysambu",5,,,Premier Realty Estate Agents
,"KSh 19,000,000",Ngumo Estate,3,,,Pam Golding Properties
,"KSh 46,750,000",Lavington,4,,,Tysons Limited
,"KSh 45,000,000","convent, Lavington",5,,,Lavington Property Management
,"KSh 38,000,000",Karen,4,,,Pam Golding Properties
,"KSh 29,900,000","Kiambu road, Runda, Westlands",4,,,El Roi Properties
,"KSh 7,000,000",Ongata Rongai,3,,4000 ft²,Litana Investments
,"KSh 38,000,000","Rhapta Road, Westlands",4,,,Coral Property International Ltd
,"KSh 270,000,000",Kileleshwa,5,,,Kenya Classic Homes
,"KSh 6,000,000",Kitengela,3,,140 m²,Halsey Realtors
,"KSh 6,500,000",Mtwapa,3,,,Arneel Homes
,"KSh 40,000,000","Off Links Road,Shree Estate, Nyali Area, Nyali",4,,,BLISS HOMES
,"KSh 9,950,000",Kitengela,3,,450 m²,El Roi Properties
,"KSh 27,500,000",Kiambu Road,4,,246 m²,Blessed Shelters Agency
,"KSh 75,000,000",Karen,5,,,Newpoint Properties
,"KSh 38,500,000","waiyaki way, Westlands Area, Westlands",3,,,Ryden International
,"KSh 52,000,000",Lavington,5,,,Bright Homes Management
,"KSh 60,000,000","Diani, Ukunda",3,,2000 m²,Sky Miles Properties
,"KSh 10,000,000","mtwapa, Mtwapa",3,,1840 ft²,Benford Homes
,"KSh 28,000,000",Kiambu Road,4,,,El Roi Properties
,"KSh 60,000,000","Spring valley shanzu rd, Spring Valley, Westlands",6,,,Spacetech Enterprises
,"KSh 120,000,000","Bagathi ridge, Karen",5,,545 m²,Mapema Properties
,"KSh 250,000,000","Runda, Westlands",5,,,Property Boutique
,"KSh 121,000,000",Lavington,6,,700 m²,
,"KSh 70,000,000","Mtwapa Creek, Mtwapa",3,,1 ac,Furaha Properties
,"KSh 42,450,000",Kiambu Road,4,,,Sky Limits Ventures
,"KSh 38,000,000","Tatu City, Ruiru",3,,,Everland Properties
,"KSh 55,000,000","Tudor,mombasa Island,mombasa, Tudor,Mombasa Island,mombasa, Tudor, Mombasa Island",4,,1000 m²,Samfrance properties
,"KSh 15,500,000",Syokimau,4,,,Urban Hut Limited
,"KSh 25,000,000","watamu, Watamu",4,,,Royani Properties Limited
,"KSh 95,000,000",Karen Hardy,5,,,Green Knight Properties
,"KSh 95,000,000",Kikambala,3,,,Furaha Properties
,"KSh 75,000,000",Karen,4,,,Mapema Properties
,"KSh 45,000,000","Matundu lane, Westlands Area, Westlands",3,,,Kenya Valuers & Estate Agents
,"KSh 12,000,000",Thika,4,,,Pam Golding Properties
,"KSh 7,200,000",Kitengela,4,,150 m²,Halsey Realtors
,"KSh 67,000,000","Runda, Westlands",5,,450 m²,Splendor Holdings
,"KSh 125,000,000","Lower Kabete, Westlands",4,,,Coral Property International Ltd
,"KSh 7,000,000",Thika,3,,464 m²,Litana Investments
,"KSh 35,000,000","Posta, Posta Mtwapa, Mtwapa",6,,1500 m²,Sky Miles Properties
,"KSh 6,400,000",Kitengela,3,,371 m²,Litana Investments
,"KSh 6,200,000","Acacia, Kitengela",3,,140 m²,Vector Afriq Properties Ltd
,"KSh 25,500,000","Eastern ByPass, Ruiru",5,,5000 ft²,Litana Investments
,"KSh 30,000,000",Lavington,4,,,Leti Realty Limited
,"KSh 7,500,000","Utange, Bamburi",3,,480 m²,Samfrance properties
,"KSh 20,000,000",Ruiru,4,,,Hanspace Limited
,"KSh 16,500,000",Syokimau,5,,1979 ft²,Litana Investments
,"KSh 75,000,000",Kikambala,4,,,Knight Frank Kenya
,"KSh 48,000,000",Karen,4,,,AMAYA REALTORS
,"KSh 10,500,000",Mtwapa,3,,600 m²,Sky Miles Properties
,"KSh 67,000,000",Karen,4,,,Sparkle Realtors
,"KSh 230,000,000","Runda, Westlands",5,,,Dakima Home International
,"KSh 35,000,000","Rhapta Road, Westlands",4,,,Coral Property International Ltd
,"KSh 85,000,000",Karen,4,,,Green Knight Properties
,"KSh 6,000,000",Kitengela,4,,140 m²,Halsey Realtors
,"KSh 500,000,000","Kitisuru, Westlands",7,,1000 m²,Glo Realtors
,"KSh 90,000,000",Karen,4,,544 m²,Mapema Properties
,"KSh 26,000,000",Watamu,2,,,Furaha Properties
,"KSh 120,000,000","Kitisuru road, Kitisuru, Westlands",4,,,Pam Golding Properties
,"KSh 5,850,000","Kamulu1, Kamulu, Kamulu Joska Malaa",3,,120 m²,El Roi Properties
,"KSh 125,000,000","Lower Kabete Rd, Lower Kabete, Westlands",4,,,Coral Property International Ltd
,"KSh 80,000,000","karen, Karen",4,,,Hanspace Limited
,"KSh 12,500,000",Ongata Rongai,4,,,Leilach Properties
,"KSh 90,000,000","Bogani Road, Karen",4,,545 m²,Homeowners Eye
,Price not communicated,"kidfarmaco, Kikuyu Town, Kikuyu",3,,,Ryden International
,"KSh 105,000,000","Runda, Westlands",4,,,Pam Golding Properties
,"KSh 130,000,000","Loresho, Westlands",4,,,Bright Homes Management
,"KSh 220,000,000","Magnolia estate, Kitisuru, Westlands",5,,,Fab Real Estate
,"KSh 39,000,000",Kenyatta Road,6,,,MK PROPERTIES
,"KSh 10,750,000","Kenpipe Gardens, Kitengela",4,,150 m²,Crystal Valuers LTD
,"KSh 55,000,000","Limuru Road, Tigoni, Limuru",6,,4048 m²,Isebania Management Systems
,"KSh 70,000,000","Nyali Area, Nyali",4,,,Arneel Homes
,"KSh 80,000,000",Lavington,5,,,Leti Realty Limited
,"KSh 11,500,000","Off Namanga Road, Kitengela",4,,225 m²,Pam Golding Properties
,"KSh 230,000,000","Runda, Westlands",5,,,Fab Real Estate
,"KSh 10,500,000",Ongata Rongai,3,,4000 ft²,Litana Investments
,"KSh 6,500,000","Acacia Road, Kitengela",3,,150 m²,Taji Estates
,"KSh 6,400,000",Kitengela,3,,494 m²,Litana Investments
,"KSh 150,000,000","O, Karen Marist road, Karen",5,,540 m²,Mapema Properties
