property_name,property_price,property_location,property_bedrooms,property_bathrooms,property_size,real_estate_agent
,"KSh 7,000,000","Utawala Lane, Utawala",4,,,
,"KSh 6,700,000",Kitengela,3,,,Blu cherryDUPLICATE
,"KSh 32,000,000","Nyali Area, Nyali",,,,Furaha Properties
,"KSh 38,000,000",Kilimani,4,,,Hanspace Limited
,"KSh 35,000,000","Nyali Area, Nyali",4,,,Joslink Property Group
,"KSh 21,980,000","Vipingo Ridge, Vipingo",4,,226 m²,Sir Francis Marketing &#38; Consultants Ltd
,"KSh 85,000,000",Karen,5,,400 m²,Glo Realtors
,"KSh 90,000,000","Watamu near ocean breeze beach hotel., Watamu",5,,,Spacetech Enterprises
,"KSh 300,000,000","Kyuna road, Lower Kabete, Westlands",6,,,Rockfield Management Ltd
,"KSh 9,500,000",Kitengela,4,,,Blu cherryDUPLICATE
,"KSh 165,000,000",Karen,5,,,Crestace Real Estate Ltd
,"KSh 55,000,000",Lavington,5,,450 m²,Splendor Holdings
,"KSh 65,000,000","Off Marist Lane, Karen",4,,500 m²,Westside Real Estate
,"KSh 25,000,000","malindi, Malindi",6,,,Royani Properties Limited
,"KSh 140,000,000","Gigiri crescent, Gigiri, Westlands",6,,,Fab Real Estate
,"KSh 85,000,000","Shanzu Road, Kyuna, Westlands",4,,6500 ft²,Rockfield Management Ltd
,"KSh 5,900,000","Yukos, Kitengela",3,,450 m²,Homeken Limited
,"KSh 6,500,000",Ongata Rongai,3,,2500 ft²,Leilach Properties
,"KSh 140,000,000","Runda, Westlands",7,,,Coral Property International Ltd
,"KSh 45,000,000","Serena, Pride Inn, Shanzu",4,,2000 m²,Sky Miles Properties
,"KSh 22,500,000","Tigoni, Limuru",4,,,Pam Golding Properties
,"KSh 40,000,000","Muthaiga north, Muthaiga",4,,,Fab Real Estate
,"KSh 100,000,000",Karen,5,,540 m²,Mapema Properties
,"KSh 15,500,000",Syokimau,5,,,Red Knot  Properties Limited
,"KSh 6,200,000","Near OLA petrol station, Acacia, Kitengela",4,,,Skybraze homes
,"KSh 6,000,000",Ongata Rongai,3,,4000 ft²,Litana Investments
,"KSh 16,000,000","Kinoo, Waiyaki Way, Westlands",6,,,
,"KSh 65,000,000",Lavington,5,,,Pam Golding Properties
,"KSh 17,000,000",Kitengela,4,,,
,"KSh 9,500,000","Acacia Premier Villas, Kitengela",3,,273 m²,Crystal Valuers LTD
,"KSh 170,000,000","Spring Valley, Westlands",5,,9000 ft²,Splendor Holdings
,"KSh 19,500,000","Kamakis, Ruiru",5,,372 m²,Masterways Real Estate
,"KSh 70,000,000","Westlands Area, Westlands",5,,,Cura International
,"KSh 7,500,000",Ngong,3,,1800 m²,Leilach Properties
,"KSh 68,000,000",Karen Hardy,4,,,Moulding Grace Real Estate
,"KSh 48,000,000","Westlands Area, Westlands",5,,,Eden Heights Realty
,"KSh 6,500,000","N/A, Rimpa, Ongata Rongai",3,,4000 ft²,Litana Investments
,"KSh 45,450,000","Five Star paradise, Kiambu Road",4,,3078 ft²,Premier Realty Estate Agents
,"KSh 39,000,000","Kanamai, Bokoboko, Kikambala",3,,2000 ft²,Sky Miles Properties
,"KSh 25,000,000","Vipingo, Kikambala",4,,,Furaha Properties
,"KSh 15,000,000",Bamburi,4,,,Furaha Properties
,"KSh 57,000,000","Brookside, Westlands",4,,,Coral Property International Ltd
,"KSh 19,550,000","Nyali, Twiga, Nyali Area",3,,1802 ft²,Laser Property Services Ltd
,"KSh 130,000,000","Ndenge road, Karen",6,,544 m²,Mapema Properties
,"KSh 6,700,000",Kitengela,4,,,Halsey Realtors
,"KSh 59,000,000","Nyali Area, Nyali",4,,,KRUSS Properties
,"KSh 14,800,000",Vipingo,3,,,Vipingo Development limited
,"KSh 37,000,000","Nyali Area, Nyali",5,,3675 ft²,Benford Homes
,"KSh 30,000,000","14th drive, Kerarapon, Karen",4,,,Crystal Valuers LTD
,"KSh 19,500,000",Langata,4,,,Pam Golding Properties
,"KSh 70,000,000",Lavington,4,,,Crystal Valuers LTD
,"KSh 16,499,000",Kitengela,5,,500 m²,Minazi Homes
,"KSh 16,700,000","Ngong/Suswa Road, Ngong",3,,450 m²,Amani Vintage Group Limited
,"KSh 85,000,000","Spring Valley, Westlands",4,,,Cura International
,"KSh 9,450,000","Exit 14 off Thika Super Highway, Kenyatta Road",3,,450 m²,Willstone Homes Limited
,"KSh 160,000,000","Nyali Area, Nyali",6,,,Furaha Properties
,"KSh 128,000,000","Ngecha rd, Kitisuru, Westlands",5,,,Mambo Properties Enterprise
,"KSh 80,000,000","Lavington Green, Lavington",4,,,Lavington Property Management
,"KSh 40,000,000","Mtwapa, La-marina Mtwapa",3,,1200 m²,Sky Miles Properties
,"KSh 13,000,000",Ongata Rongai,3,,,Litana Investments
,"KSh 7,700,000","Nova pioneer girls, Tatu City, Ruiru",3,,,
,"KSh 35,000,000",Lavington,4,,,Abec Real Estate
,"KSh 60,000,000","Grevillea Grove, Brookside, Westlands",4,,,Abacus Property Consultants Ltd
,"KSh 190,000,000","Lower Kabete, Westlands",5,,1 ac,Gerryville Homes
,"KSh 29,500,000",Kiambu Road,4,,,Villawatch Limited
,"KSh 105,000,000","Spring Valley, Westlands",5,,2023 m²,Halifax Estate Agency
,"KSh 60,000,000","Controlled Zone near The Hub, Karen",4,,,Trendy Living
,"KSh 4,500,000",Kitengela,3,,,RockSand Homes
,Price not communicated,"Lamu, lamu",4,,81 m²,Knight Frank Kenya
,"KSh 35,000,000",Shanzu,3,,,Furaha Properties
,"KSh 13,000,000","Vipingo Ridge Road, Vipingo",3,,155 m²,Vipingo Development limited
,"KSh 75,000,000","Vipingo Beach, Vipingo Beach Estate, Vipingo",4,,,Sky Miles Properties
,"KSh 95,000,000","Diani, Neptune",4,,2000 m²,Sky Miles Properties
,"KSh 150,000,000","Lower Kabete road, Loresho, Westlands",5,,,
,"KSh 85,000,000","Serena, Shanzu",4,,1 ac,Sky Miles Properties
,"KSh 13,000,000","Kiungani, Road, Syokimau",3,,19 m²,Malazo Realtors
,"KSh 45,000,000",Diani,2,,1012 m²,Furaha Properties
,"KSh 33,000,000","Nyali Area, Nyali",4,,,Benford Homes
,"KSh 80,000,000","Miotoni, Karen",4,,,Kraft Fiction
,"KSh 95,000,000","Tudor, Mombasa Island",4,,2024 m²,Furaha Properties
,"KSh 75,000,000",Lavington,4,,,Bright Homes Management
,"KSh 15,500,000",Syokimau,4,,234 m²,
,"KSh 32,000,000","Kanamai, Kikambala",3,,2 ac,Furaha Properties
,"KSh 75,000,000","Nyali Area, Nyali",4,,,Benford Homes
,"KSh 16,500,000",Ngong,5,,,Leilach Properties
