num,image,title,price,make_year,engine_cc,availability,transmission,exterior,fuel,drive,details_link,reserve_link
MTH2495,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_c8ba5cb35c78a24c05534198f97836e6_17022023010229.JPG,Nissan Xtrail ,Request Price Below,2015,2000 CC,In Stock,Auto,Black,Petrol,4 WD,https://www.motorhub.co.ke/detail/nissan-xtrail-925,https://www.motorhub.co.ke/reserve/nissan-xtrail-925
MTH2494,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_b74d7bfec6a75fbacfbce7a16b9bbe64_17022023125629.JPG,Ford Ranger 3.2L Duratorq,Request Price Below,2015,3200 CC,In Stock,Auto,Black,Diesel,4 WD,https://www.motorhub.co.ke/detail/ford-ranger-924,https://www.motorhub.co.ke/reserve/ford-ranger-924
MTH2492,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_f595b1a2af3f268c525f84da63c82c1d_17022023122131.JPG,Toyota Land Cruiser Prado TX,"KSh 8,200,000",2019,2700 CC,In Stock,Auto,Dark Grey,Petrol,4 WD,https://www.motorhub.co.ke/detail/toyota-land-cruiser-prado-922,https://www.motorhub.co.ke/reserve/toyota-land-cruiser-prado-922
MTH2491,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_aa26403a0ecf110036533588d7ff1f28_17022023102432.JPG,Honda Stepwagon New Shape,"KSh 2,050,000",2015,2000 CC,In Stock,Auto,White,Petrol,2 WD,https://www.motorhub.co.ke/detail/honda-stepwagon-921,https://www.motorhub.co.ke/reserve/honda-stepwagon-921
MTH2490,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_258d6e606b33d6c30d01010b10187841_17022023101505.JPG,Toyota Noah New Shape,Request Price Below,2014,2000 CC,In Stock,Auto,Black,Petrol,2 WD,https://www.motorhub.co.ke/detail/toyota-noah-920,https://www.motorhub.co.ke/reserve/toyota-noah-920
MTH2489,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_6833447bd432315f366b0e95c75ee856_17022023095209.JPG,Suzuki Swift ,"KSh 1,150,000",2015,1500 CC,In Stock,Auto,Black,Petrol,2 WD,https://www.motorhub.co.ke/detail/suzuki-swift-919,https://www.motorhub.co.ke/reserve/suzuki-swift-919
MTH2488,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_f7a289595c926db73af012e646920ac1_17022023094423.JPG,Toyota Fielder G Grade,SOLD,2015,1500 CC,In Stock,Auto,Blue,Petrol,2 WD,https://www.motorhub.co.ke/detail/toyota-fielder-918,https://www.motorhub.co.ke/reserve/toyota-fielder-918
MTH2487,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_ba74cb82387d1962c044b5661caedb48_16022023055958.JPG,Mitsubishi Pajero EXCEED,Request Price Below,2015,3000 CC,In Stock,Auto,Black,Petrol,4 WD,https://www.motorhub.co.ke/detail/mitsubishi-pajero-917,https://www.motorhub.co.ke/reserve/mitsubishi-pajero-917
MTH2486,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_6b98a9b7bba26d885f05ee4af6226e5e_16022023054839.JPG,Mitsubishi Pajero DI-D EXCEED,"KSh 3,400,000",2014,3200 CC,In Stock,Auto,Black,Diesel,4 WD,https://www.motorhub.co.ke/detail/mitsubishi-pajero-916,https://www.motorhub.co.ke/reserve/mitsubishi-pajero-916
MTH2485,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_28e3f6a9d7411a70854913ea0eebf682_16022023050201.JPG,Volkswagen Touareg V6 TDI Bluemotion,"KSh 5,800,000",2016,3000 CC,In Stock,Auto,Silver,Diesel,4 WD,https://www.motorhub.co.ke/detail/volkswagen-touareg-915,https://www.motorhub.co.ke/reserve/volkswagen-touareg-915
MTH2484,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_12c40dd3126c338fc2299726e531e607_16022023045544.jpeg,Mercedes-Benz G-Class GLE350D,Request Price Below,2015,3000 CC,Shipping,Auto,Black,Diesel,4 WD,https://www.motorhub.co.ke/detail/mercedes-benz-g-class-914,https://www.motorhub.co.ke/reserve/mercedes-benz-g-class-914
MTH2483,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_ab0f8bd742e503821e49242421db8f6c_16022023025313.jpeg,Volvo XC60 T5 AWD (New Shape),"KSh 6,600,000",2017,2000 CC,Shipping,Auto,Brown,Petrol,4 WD,https://www.motorhub.co.ke/detail/volvo-xc60-913,https://www.motorhub.co.ke/reserve/volvo-xc60-913
MTH2482,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_10ad6759f759f89a0b5b8f609e8cdb26_16022023095513.JPG,Jeep Grand Cherokee 4X4,"KSh 4,000,000",2012,3600 CC,In Stock,Auto,Black,Petrol,4 WD,https://www.motorhub.co.ke/detail/jeep-grand-cherokee-912,https://www.motorhub.co.ke/reserve/jeep-grand-cherokee-912
MTH2481,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_1629ae7a718e394f36bad4720d223c01_16022023093551.JPG,Toyota Harrier ,"KSh 3,800,000",2015,2000 CC,In Stock,Auto,Purple,Petrol,2 WD,https://www.motorhub.co.ke/detail/toyota-harrier-911,https://www.motorhub.co.ke/reserve/toyota-harrier-911
